,title,type,release_year,runtime,genres,production_countries,seasons,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,word_count,genres_weight
1,Taxi Driver,MOVIE,1976,114,drama,92,1.0,8.2,808582.0,40.965,8.179,11,0.03650024883774565
2,Deliverance,MOVIE,1972,109,drama,92,1.0,7.7,107673.0,10.01,7.3,11,0.03650024883774565
3,Monty Python and the Holy Grail,MOVIE,1975,91,fantasy,91,1.0,8.2,534486.0,15.461,7.811,31,0.055241979534612726
4,The Dirty Dozen,MOVIE,1967,150,war,91,1.0,7.7,72662.0,20.398,7.6,15,0.11031402109658546
5,Monty Python's Flying Circus,SHOW,1969,30,comedy,91,4.0,8.8,73424.0,17.617,8.306,28,0.022292220482381074
6,Life of Brian,MOVIE,1979,94,comedy,91,1.0,8.0,395024.0,17.77,7.8,13,0.022292220482381074
7,Dirty Harry,MOVIE,1971,102,thriller,92,1.0,7.7,155051.0,12.817,7.5,11,0.08545452338467888
8,Bonnie and Clyde,MOVIE,1967,110,crime,92,1.0,7.7,112048.0,15.687,7.5,16,0.05329376206256145
9,The Blue Lagoon,MOVIE,1980,104,romance,92,1.0,5.8,69844.0,50.324,6.156,15,0.0394984402121797
10,The Guns of Navarone,MOVIE,1961,158,action,91,1.0,7.5,50748.0,13.844,7.3,20,0.061918114174040764
11,The Professionals,MOVIE,1966,117,western,92,1.0,7.3,16446.0,13.123,7.1,17,0.10511877450444873
12,Richard Pryor: Live in Concert,MOVIE,1979,78,comedy,92,1.0,8.1,5141.0,4.718,7.5,30,0.022292220482381074
13,White Christmas,MOVIE,1954,115,romance,92,1.0,7.5,42488.0,8.915,7.2,15,0.0394984402121797
14,Cairo Station,MOVIE,1958,77,drama,38,1.0,7.5,4471.0,5.546,7.3,13,0.03650024883774565
15,Hitler: A Career,MOVIE,1977,150,history,89,1.0,7.5,2460.0,4.305,7.3,16,0.04340701358289938
16,FTA,MOVIE,1972,97,war,92,1.0,6.2,418.0,1.268,6.1,3,0.11031402109658546
17,Alexandria… Why?,MOVIE,1979,133,drama,38,1.0,7.2,1727.0,1.37,6.0,16,0.03650024883774565
18,The Land,MOVIE,1969,129,drama,38,1.0,8.1,1958.0,1.265,8.5,8,0.03650024883774565
19,Dostana,MOVIE,1980,161,drama,75,1.0,2.1,25.0,3.98,4.9,7,0.03650024883774565
20,Saladin the Victorious,MOVIE,1963,186,action,38,1.0,7.6,2508.0,4.156,7.1,22,0.061918114174040764
21,Alibaba Aur 40 Chor,MOVIE,1979,146,drama,17,1.0,6.2,565.0,2.582,6.8,19,0.03650024883774565
22,The Blazing Sun,MOVIE,1954,100,crime,38,1.0,7.4,1219.0,2.184,7.0,15,0.05329376206256145
23,Dark Waters,MOVIE,1956,120,action,38,1.0,6.7,610.0,0.849,5.9,11,0.061918114174040764
24,We Are All for the Fatherland,MOVIE,1979,74,documentation,15,1.0,6.1,47.0,0.6,5.2,29,0.016963451197455785
25,Singapore,MOVIE,1960,158,drama,75,1.0,6.4,84.0,0.792,6.3,9,0.03650024883774565
26,Monty Python's Fliegender Zirkus,SHOW,1972,43,comedy,21,1.0,8.1,2151.0,1.487,7.0,32,0.022292220482381074
27,"Beirut, Oh Beirut",MOVIE,1975,110,drama,15,1.0,6.4,108.0,1.025,7.2,17,0.03650024883774565
28,The Return of the Prodigal Son,MOVIE,1976,124,music,24,1.0,7.2,780.0,1.858,5.3,30,0.0157071240425816
29,Khoon Khoon,MOVIE,1973,131,crime,75,1.0,5.1,41.0,1.948,3.8,11,0.05329376206256145
30,Manoranjan,MOVIE,1974,162,romance,75,1.0,6.5,237.0,1.532,5.3,10,0.0394984402121797
31,Ujala,MOVIE,1959,142,romance,75,1.0,6.6,78.0,0.84,6.0,5,0.0394984402121797
32,Whispers,MOVIE,1980,93,documentation,84,1.0,7.8,78.0,0.6,5.0,8,0.016963451197455785
33,Chadi Jawani Budhe Nu,MOVIE,1976,135,romance,75,1.0,4.6,14.0,0.62,6.0,21,0.0394984402121797
34,Bandie,MOVIE,1978,141,drama,75,1.0,4.4,35.0,1.166,6.0,6,0.03650024883774565
35,Seinfeld,SHOW,1989,24,comedy,92,9.0,8.9,308824.0,130.213,8.301,8,0.022292220482381074
36,GoodFellas,MOVIE,1990,145,drama,92,1.0,8.7,1131681.0,50.387,8.463,10,0.03650024883774565
37,Full Metal Jacket,MOVIE,1987,117,war,92,1.0,8.3,729274.0,32.937,8.1,17,0.11031402109658546
38,Once Upon a Time in America,MOVIE,1984,139,crime,92,1.0,8.3,345714.0,28.937,8.453,27,0.05329376206256145
39,When Harry Met Sally...,MOVIE,1989,96,comedy,92,1.0,7.7,216199.0,15.123,7.4,23,0.022292220482381074
40,A Nightmare on Elm Street,MOVIE,1984,91,horror,91,1.0,7.4,234068.0,48.358,7.3,25,0.15172426350096502
