name,review,rating
달달잠,"최고의 숙소였어요!:D 어린이날연휴에 2층독채에 어른6명 아이5명 총11명이 함께했었는데, 너무 편안하게 잘 쉬다 왔습니다. 비가 많이 와서 외부 여행지보다 숙소에 있던 시간이 많았었는데, 너무 친절하신 사장님의 세심한 배려들(궁금하시다면 꼭 가보세요!)덕에 기분 좋게 잘 보냈습니다. 각 방에 화장실이 있어서 더 편했고, 침구나 수건도 깨끗해서 잘 사용할 수 있었습니다. 기분 좋은 여행을 보낼 수 있게 해주셔서 감사드립니다 ~ 강추 입니다! 달달잠!",
달달잠,아빠 생신이여서 가족여행을 다녀왔어요.총 11명이 이용했는데 방이 많아서나눠서 이용하기에도 좋았고각 방마다 화장실이 있어서씻을때도 유용했어요.체크인 전과 체크아웃후에도친절하게 연락주시고 신경써주셔서정말 감사했습니다.한옥마을도 가까워서 맛집 투어도 잘하고돌아왔어요^^숙소 앞에 바로 주차도 할 수 있어서편하게 이용했습니다.,
달달잠,"10인이 이용하였는데 전부 만족했던 숙소입니다한옥마을에서 좀 걸어가야되긴한데오히려 주차 편히 해놓고 실컷 즐기다와도 되네요한옥마을 입구서 5분정도 걸은거같아요~그리고 주인아주머니께서 넘나 친절하셨어요~그날 눈오고 추운날인데 입실하기도 전에 방 데워졌다고~언능 와서 쉬라고..그리고 각방마다 화장실이 있어 단체팀이 이용하기 넘나좋은 숙소였어요각 방이랑 화장실마다 드라이기 및 샴푸,폼클렌징 등 다 있었구요수건도 삶아놓은것처럼 깨끗하고 부족함없이 비치해놓으셨더라구요침구류도 좋아서 다들 이불 만족했다고..방 자글자글하니 푹 잠들고..일어날 때 개운했다고 그랬어요~^^담에 전주갈 때 꼭 다시 이용하고 싶은 숙소였답니다",
달달잠,2박3일동안 너무 잘지내다 왔어요❤️사장님 너무 친절하시고 입실시간맞춰 주차자리 마련해주시고 이것저것 신경써주신게 딱 느껴졌어요친정식구들 어른7명 아이4명이 좁지 않게 보내고 왔어요~^^다음에 전주가게되면 재방문의사 100%입니다👍,
달달잠,독채지만 방이 다섯개다보니 잠자리가 편하더라구요..3가족이 갓는데 밥마다 화장실이 잘 되어있어 좋았습니다다만 아쉬운점은 거실 상이 다리가 다 망가졌어요. 교체하셔야할것 같아요. 숟가락은 충분히 비치 됐는데 젓가락이 없어서 아쉬웠답니다 하루 조용히 잘 머물다 갈수 있었습니다.한옥 마을과도 도분5분이면 되요..대체적으로 만족합니다^^,
달달잠,저희 팀원 모두가 아주 편한하게 쉬고 갔습니다. 깔끔하고 조용하고 좋습니다!,
달달잠,사장님이 친절하시고 간단하게 조식도 준비해주세요 화장실도 깔끔하고 좋아요,
달달잠,넓지는 않았지만 독채공간이고 화장실도 2개 있고 조식도 챙겨주셔서 좋았어요 문의 많이 했는데 사장님께서 친절하게 답변해주시고 현금영수증도 해주시고 덕분에 잘 있다가 왔어요,
달달잠,편안하게 쉬고 갑니다~,
달달잠,너무 너무 좋았어요~ 사장님이 너무 친절하시고 아담하고 이쁜곳이예요~~다음에 또 가고싶어요~^^,
