,name,review
0,달달잠,"최고의 숙소였어요!:D 어린이날연휴에 2층독채에 어른6명 아이5명 총11명이 함께했었는데, 너무 편안하게 잘 쉬다 왔습니다. 비가 많이 와서 외부 여행지보다 숙소에 있던 시간이 많았었는데, 너무 친절하신 사장님의 세심한 배려들(궁금하시다면 꼭 가보세요!)덕에 기분 좋게 잘 보냈습니다. 각 방에 화장실이 있어서 더 편했고, 침구나 수건도 깨끗해서 잘 사용할 수 있었습니다. 기분 좋은 여행을 보낼 수 있게 해주셔서 감사드립니다 ~ 강추 입니다! 달달잠!"
1,달달잠,아빠 생신이여서 가족여행을 다녀왔어요.총 11명이 이용했는데 방이 많아서나눠서 이용하기에도 좋았고각 방마다 화장실이 있어서씻을때도 유용했어요.체크인 전과 체크아웃후에도친절하게 연락주시고 신경써주셔서정말 감사했습니다.한옥마을도 가까워서 맛집 투어도 잘하고돌아왔어요^^숙소 앞에 바로 주차도 할 수 있어서편하게 이용했습니다.
2,달달잠,"10인이 이용하였는데 전부 만족했던 숙소입니다한옥마을에서 좀 걸어가야되긴한데오히려 주차 편히 해놓고 실컷 즐기다와도 되네요한옥마을 입구서 5분정도 걸은거같아요~그리고 주인아주머니께서 넘나 친절하셨어요~그날 눈오고 추운날인데 입실하기도 전에 방 데워졌다고~언능 와서 쉬라고..그리고 각방마다 화장실이 있어 단체팀이 이용하기 넘나좋은 숙소였어요각 방이랑 화장실마다 드라이기 및 샴푸,폼클렌징 등 다 있었구요수건도 삶아놓은것처럼 깨끗하고 부족함없이 비치해놓으셨더라구요침구류도 좋아서 다들 이불 만족했다고..방 자글자글하니 푹 잠들고..일어날 때 개운했다고 그랬어요~^^담에 전주갈 때 꼭 다시 이용하고 싶은 숙소였답니다"
3,달달잠,2박3일동안 너무 잘지내다 왔어요❤️사장님 너무 친절하시고 입실시간맞춰 주차자리 마련해주시고 이것저것 신경써주신게 딱 느껴졌어요친정식구들 어른7명 아이4명이 좁지 않게 보내고 왔어요~^^다음에 전주가게되면 재방문의사 100%입니다👍
4,달달잠,독채지만 방이 다섯개다보니 잠자리가 편하더라구요..3가족이 갓는데 밥마다 화장실이 잘 되어있어 좋았습니다다만 아쉬운점은 거실 상이 다리가 다 망가졌어요. 교체하셔야할것 같아요. 숟가락은 충분히 비치 됐는데 젓가락이 없어서 아쉬웠답니다 하루 조용히 잘 머물다 갈수 있었습니다.한옥 마을과도 도분5분이면 되요..대체적으로 만족합니다^^
5,달달잠,저희 팀원 모두가 아주 편한하게 쉬고 갔습니다. 깔끔하고 조용하고 좋습니다!
6,달달잠,사장님이 친절하시고 간단하게 조식도 준비해주세요 화장실도 깔끔하고 좋아요
7,달달잠,넓지는 않았지만 독채공간이고 화장실도 2개 있고 조식도 챙겨주셔서 좋았어요 문의 많이 했는데 사장님께서 친절하게 답변해주시고 현금영수증도 해주시고 덕분에 잘 있다가 왔어요
8,달달잠,편안하게 쉬고 갑니다~
9,달달잠,너무 너무 좋았어요~ 사장님이 너무 친절하시고 아담하고 이쁜곳이예요~~다음에 또 가고싶어요~^^
10,이가한옥,주말에 엄청난 인파로 한옥마을 주차장에 주차하기가 쉽지 않았는데 먼저 주차만 해도 되는지 전화드렸더니 흥쾌히 승락해 주셔서 저희는 편하게 주차를 하고 한옥마을을 구경할 수 있었습니다.사장님이 바뀌시면서 새로 이불을 교체하셨다고 하셨는데 침구들도 깨끗했고 전체적으로 한옥자체가 깔끔한 느낌이었습니다. 구조상 옆방의 약간의 소음은 있었지만 자는데는 크게 불편함을 느끼진 못했습니다.저는 개인적으로 사장님이 정말 친절하다고 느꼈고 저녁에는 출입시 카드 비밀번호로 한옥 바깥 출입문을 열어야 해서 안전상으로도 만족했습니다.이가한옥은 한옥마을과 근접하게 있어서 접근성이 용이하고 한옥의 정취를 느끼기에 만족도가 높은편이었습니다.
11,이가한옥,사장님도 친절하시구전주와서 잘머물다가 가용침구도 푹신푹신하고 에어컨도 디게시원해요한옥마을이랑도 5분도 안걸렸어요
12,이가한옥,저희가 방문했을때는현주인분께서 인수하신 얼마 안되어 공사중이었어요. 친절히 대해 주셔서 감사했어요.다만 주차장을 나올 때 방향이 조금만 맞지 않으면 차가 상처 입겠더라구요. 출차할 때 조금 신경쓰였어요.
13,이가한옥,"작지만 친구랑 둘이가서 자기좋았어요,사장님도 친절하시구요.잘 쉬다갑니다."
14,이가한옥,전주 한옥마을 여행 와서 잤구요방 정말 절절 끓을 정도로 따뜻하구요살짝 창문 틈으로 들어오는 공기는 신선하고 좋았습니다.방음은 아예 안된다고 보시면 되구요오히려 싰고 뜨끈하게 푹 자기 좋았어여청소상태 좋쿠요 화장실 깨끗하고뜨거운물 잘 나왔어요방은 작았지만 큰 창문덕에 답답하지 않았어요강력 추천합니다
15,이가한옥,"장점: 주차장, 위치 (길 건너면 바로 한옥마을), 깔끔하고 깨끗단점: 방이 좀 좁음, 화장실 창 제외하고는 창에 방충망이 없다보니 환기가 잘 안되어 약간 답답처음에는 사실 좀 좁고 별로라고 생각했는데, 막상 하루 묵고보니 꽤 괜찮다는 생각이 들었습니다. 가격대비 괜찮은 것 같습니다. 방음이 잘 안 될 수 있으나, 저희가 잘 땐 조용했습니다."
16,이가한옥,깨끗하고 방도 따뜻하고 좋았어요. 주차장도 있고 이거 중요 하더군요. 전주가면 재 예약 하도록 하겠습니다.
17,이가한옥,문열면 보이는 풍경도 좋고 땃땃한 방바닦도 만족스러운곳
18,이가한옥,문열면 보이는 풍경도 좋고 땃땃한 방바닦도 만족스러운곳
19,이가한옥,깨끗해요
20,생황토방,"침구류가 깔끔하고, 난방이 잘되어 황토방에서 아늑하게 지냈습니다.한옥마을에 위치하여 주변 관광하기에도 최적의 숙소였습니다!"
21,생황토방,사장님 정말 정말 친절하세요~주차자리 안내도 잘해주시고 비가 많이 왔는데 캐리어 있다고 말씀드렸더니 픽업서비스까지 ㅎㅎ 정말 감동이었어요~ 무엇보다 한옥마을 안쪽에 위치해있어서 이동이 편리해요
22,생황토방,두가족이 방2개했어요 주차는 일찍못와서 공영주차장에했고 셔틀이용했어요~ 숙소도좋았고 사장님도 좋았습니다^^
23,생황토방,친절하고 방이 따뜻했어요방음문제때문에 저희 아이들이 시끄럽게 해서 신경이 쓰이긴 했지만 거의 잠만자는 전주일정이라비싼방보단 추천입니다👍한옥마을 안에있어서 구경하러 왔다갔다하러 가기편했어요
24,생황토방,가족들과 편안하게 잘 놀다가 왔어요~~^^주인아주머니도 친절하시고시설도 깨끗하고 방도 따뜻하게 있어서추운날인데 넘 잘 지냈어요 ~바로 앞 골목이 먹거리 볼거리가 있어 넘 편하게 있다가 왔네요 ~담에 전주가면 또 여기에 올께요 ~~^^
25,생황토방,따뜻하게 하루 잘묵었다 가요 침구는 깨끗한 편이었고 냉장고가 있어 편리했어요
26,생황토방,방은 작지만 깨끗해서 좋았습니다! 침구도 깨끗하고요. 방음은 .ㅎ.. 옆방과 대화가능한 정도.. 옆에서 뛰는데 왜 방이 울리는지 신기하더군요.. 한옥이라 불편할까 걱정했는데 사장님도 친절하시고 생각보다 깨끗해서 잘 잤습니다. 창문 열면 바로 사람들이 돌아다녀서 창문을 못열어서 좀 아쉬워요. 위치는 길거리야 앞 골목이라 넘 좋습니다~
27,생황토방,넓고 저렴하고 위치까지좋고 만족했습니다
28,생황토방,위치가 정말 좋아서 편리했습니다.
29,생황토방,위치는 길거리야바케트 앞에 있습니다 (위치최고)난방이 아주 좋아요 밤새 따뜻하게 잘잤습니다.화장실은 매우 작지만 뜨거운물 매우 잘나와요!이불도 푹신하고 좋아요다음에 전주 방문해도 다시올것같아요!
30,알콩달콩다락방,너무 친절하시고 주변에 맛집과 가볼만한곳 정보들도 챙겨주시고 진짜 편히 잘 쉬다왔어요^^침구류도 깨끗하고 실내도 깨끗하고 좋았어요^^조식도 깔끔하고 맛있었어요^^시부모님과 함께한 여행인데 전주 갈 일 있음 여기서 다시 숙박하자고 하시네요!!평일이여서인지 모르겠지만 조용했어요^^굿굿👍👍
31,알콩달콩다락방,"방문을 열면 이렇게 소박하지만 정겨운 분위기에요. 아이랑 둘이 여행에 급하게 잡은 숙소인데 둘이 혹은 어린 아이랑 세식구 정도 머물기 적당한 크기였고요.위치도 전동성당 근처 한옥마을 내부라 여러번 들렀다,나갔다하기에도 어렵지 않았어요. 조식도 적당한 양에 알차게 챙겨주셨고요. 전주 먹을 거리 많은데 가볍게 먹고 일정 시작하기 좋았어요. 아쉬웠던 것은 화장실 세면대 아래쪽 타일이 깨져있어서 조금 위험해보였고 밤사이 비가 많이 왔는데 지붕에 떨어지는 소리가 너무 크게 들리더라구요..옆방 방음도 안됐구요. 요도 너무 얇아서 잠을 잘 못잤어요..그래도 마지막날 짐도 맡아주시고, 친절히 응대해주신 점, 숙소 자체의 분위기, 가격 다 너무 좋았어요.덕분에 한옥마을 충분히 즐기고 왔어요. 고맙습니다♡"
32,알콩달콩다락방,사장님이 정말정말 친절하시고 오래된건물 같은데도 깨끗하고 방에 들어가자마자 좋은향기가 났어요. 침구랑 수건 다 깨끗하고 난방이 잘되서 아기랑 같이 자기에도 너무 좋았습니다! 그리고 조식도 넉넉히주셔서 배불리 잘 먹었습니다^^
33,알콩달콩다락방,"아이와 둘이서 급히 떠난 전주한옥마을~~~ 우선 아이랑 가는거라 주차시설이 좋았으면했어요~~~ 네이버 리뷰보고 급히 정한 숙소였는데 기대이상으로 만족했어요~~~ 사장님이 너무 친절하셔서 저희 아이도 엄청 좋아했어요ㅋㅋㅋ 복층이고 복층엔 전기장판이있어 따뜻하게 잘수있었어요~~~ 화장실은 아담하니 그래도 바디워시, 샴푸, 트리트먼트, 치약, 폼클렌징이 다 있어서 개인 칫솔만 가져오면되는데 깜빡해도 인근 편의점 많아요ㅋㅋㅋ 그리고 온수도 너무 잘나와 감동이었어요~ 다음날 조식도 제공해주셨는데 맛있게 잘 먹었어요 다음에 전주에 오면 다시 또 방문하고싶은 곳입니다^^ 위치가 한옥마을인근에 있어 관광하기에도 너무 좋아요~~~"
34,알콩달콩다락방,혼자 지내기 좋은 깔끔한 방이었어요!한옥을 숙소 정할 때 정말 고민이 많았던 부분이 아무래도 벌레가 많지않을까? 였는데 걱정없이 아늑하게 지내고 왔습니다 :)온수도 금방 잘 나오고 좋았습니다!
35,알콩달콩다락방,"안녕하세요! 몇년 전 한번 친구랑 묵었다가 좋았던 기억으로 재방문 했습니다 :)외국에 사는 친구라서 급하게 예약했는데 역시나 너무 잘 쉬고 잘자고 아침 조식까지 챙겨먹어서 좋았어요. 위치도 전동성당,경기전,풍남문 야시장이 모두 가깝고 - 방문전에 사장님이 맛집이나 즐길거리 할인권등 안내문자 보내주셔서 더욱 좋았습니다. 다음에 또 전주 가게되면 방문할게요. 번창하세요 🥰"
36,알콩달콩다락방,"조식 맛집!! 아침 9시쯤에 사장님께서 살살 똑똑하고 문 두드려주셨는데 문 열어보니 직접 만드신 토스트와 먹음직한 과일들이 똬앟,,🍓🍌🍅🍇💕 마당뷰로 첫번째 힐링하고 조식으로 두번째 힐링했어요! 사장님 옆엔 항상 따님이 따라다니면서 이것저것 운영관리에 도와주는 모습도 너무 착하고 보기 좋더라구요😊 친절하신 사장님과 따님 덕분에 전주에서 잘 쉬다 갑니다 :)"
37,알콩달콩다락방,"아기자기방은 정보가 별로없고 제일 작은방같아 걱정했지만 두명이 잠자기에 전혀 안좁았어요!바닥을 새로 하신건지 정말 깨끗해고 화장실 수압, 청결도 뭐하나 맘에 안드는게 하나없는 곳이에요가장 좋은건 주차장이 바로앞에 있다는건데요 운좋게 당일에 자리가 나서 바로앞에 무료주차를 했어요😀무엇보다 친절하신 사장님👏🏻 하루전에 문자로 맛집정보와 할인쿠폰 보내주셔서 잘 사용했어요조식은 콩나물해장국 사먹으러가서 못먹었지만 다음번에 이용하면 먹어보고싶네요 잘 이용했습니다~~!"
38,알콩달콩다락방,사장님이 넘넘 친절하시고 좋아요~~조식도 맛있게 잘 먹었어요담에 또 오고 싶은곳이에요^^
39,알콩달콩다락방,-주인분 입실부터 퇴실까지 너무너무 친절했어요~~-조식 서비스 (빵 촉촉하고 넘 맛있어요~)-방&화장실 깔끔 (물 수압 good)-다음에 전주오면 가족이랑 또 들리고 싶네요~
40,한옥마을숙박가인당,하룻밤의 머무름에 더해진 갓만들어서 주산 떡과 유자차의 따뜻함이 약간의 불편함과 도시인 삶의 분주함을 잊게 해주었네요~👍 주변 주차장 정보와 먹거리 정보를 꼼꼼히 전해주시는 친절함 덤이네요❤️
41,한옥마을숙박가인당,한옥마을 내에 있어서 구경 다니기에도 정말 좋고 클렌징 오일 부터 핸드폰 충전기에 고데기 까지 없는게 없어요 여행 오실때 칫솔만 챙기시면 됩니다. 사장님도 너무 친절하시고 조식 서비스도 숙소랑 정말 잘 어울리는 떡과 음료여서 여행이 더 즐거웠습니다. 숙소가 너무 예뻐서 다음에 또 방문 할 생각 입니다. 숙박비도 부담없어서 추천 드립니다 ~잘 놀고 잘 쉬다가 갑니다 ^^
42,한옥마을숙박가인당,가래떡조식 대만족ㅜㅜ아가까지 음료 말씀드리기 죄송해서 안햇는데센스있게 따뜻한 유자차 주셔서 정말 감사햇어용 옆방 코곤는 분때문이 잠은 못잣지만 그래도 전체적으로 조용하고 아늑햇습니당감사합니다!
43,한옥마을숙박가인당,"너무너무 만족스러웠습니다!방이 깨끗하고, 따뜻하고, 예쁘고, 가성비좋아요!예전에도 전주에서 한옥 숙소에 묵은적이있는데뜨끈한 방바닥을 좋아해서전주 올때마다 한옥 숙소를 찾게되네요.하루 숙박하기에 부담없는 가격인데도넘넘 만족스러웠습니다! 딱 한가지 단점은 공용공간에 냉장고가 있어요! 그래도 저희는 뭐 사와서 바로먹고 치우곤해서 불편하진 않았습니다. 물은 1인당 1병씩 가져가도 되고방이랑 화장실이랑 화장실가는쪽 작은공간까지 다 따뜻했어요! 전주여행 또 가게되면 재방문할거예요!!아참!!! 고데기 있는게 정말 최고!!!!"
44,한옥마을숙박가인당,"비교할 여유도 없이 급하게 예약한 숙소라 그냥 깨끗하기만 바랄 뿐이었는데, 도착해서 보니 너무 좋아 예약한 나를 격하게 칭찬했습니다. 👏👏👏객실 내부, 침구류, 화장실 정말 엄청 청결하게 관리가 되어있어 어느 한가지 흠잡을 곳이 없이 너무 좋아 정말 편안하게 쉬었습니다. 조식으로 챙겨주신 쫀득한 가래떡과 따뜻한 유자차도 정말 맛있었습니다. 아참 숙소 입구에 있는 24시간 오픈 되어 있는 카페는 정말 최고예요! 잡지에 나오는 공간인 줄 알았어요. 꼭 잊지 마시고 이용해 보세요. 전 이 공간이 특히나 너무 좋더라구요. 1박이 너무 아쉬웠던 가인당!!! 전주여행 가게 되면 숙소는 무조건 가인당 예약하려구요!! 가인당 정말 최고였습니다!! 👍"
45,한옥마을숙박가인당,2박3일 머물렀습니다리뷰들을 꼼꼼히 보고 예약해서 방문했는데요정말 궁금했어요~ 다들 좋아하신 가인당의 조식이요정말 온기가 다 가시기전인 아침에 방앗간에서 바로 뽑아 온 가래떡과 조청 그리고 원하는 차로 챙겨 주시는 가인당의 조식은 정말 따뜻하고 맛있고 심플하지만 말캉쫀득한 가래떡과 달콤한 조청은 매일 먹고 싶은 조식이예요..딸이 떡을 좋아하는편이 아닌데 아주 야무지게 잘 먹었어요..다른분들 리뷰처럼 사장님 정말 친절하시고 말씀도 따뜻하시고 좋은 분이세요골목 안쪽이라 밤에 조용하고 한옥은 밤에 운풍이 있는편인데 전혀 그렇지 않았어요…침구도 너무 좋았고 깨끗함은 말이 필요없어요카페테리아를 밖에 따로 두셔서 모든방에 소음 없이 사용가능해서 좋아요다음엔 일주일 휴식하러 꼬옥 재방문하고 싶어요꼭이요~
46,한옥마을숙박가인당,깔끔 그 자체였어요~ 방은 좀 작지만 거의 잠만자서 불편하지않았구 조식 너무 맛있었어요 아침에 나온떡이라 말캉말캉 너무 맛있었어요!! 다음에 전주가게되도 또 갈거같아요 :)
47,한옥마을숙박가인당,"한옥의 포근함을 잘 느끼고 왔어요침구도 보송보송 편안했고요온수도 잘나오고 샤워실도 감성가득했어요새벽 빗소리가 너무 잘 어울렸던 가인당잠을 너무 잘잤습니다 무게가 느껴지는 침구에 아늑한공간덕에요조식으로 나온 떡과 차, 너무 맛있었고요다시 방문하고 싶은곳입니다"
48,한옥마을숙박가인당,"예그리나 묵었습니다. 체크인할 때 개미가 많이 나와서 전날 방역하셨다고 하는데... 그래도 개미가 나왔습니다. 한옥 특성상 어느정도 벌레는 어쩔 수 없다고 해도, 아침에는 개미가 더 많이 나와서 굉장히 찜찜했습니다. 그리고 에어컨 입구를 막아놓으셔서 좀 더웠는데 에어컨을 쐴 수 없었습니다. 밤중에 모기도 몇마리 나왔습니다. 영화제 기간에 이 가격에 묵을 수 있는 숙소를 찾기 힘들어서 가성비로는 만족하지만, 다시 묵고 싶지는 않습니다."
49,한옥마을숙박가인당,방이 뜨끈뜨끈해서 불면증있던 남친이 엄청 개운하게 잤대용 !! 화장실도 따뜻해서 심지어 더웠음 ...!!조식도 너무 좋았고 모든게 좋았어용 다음에 전주오면 또 방문하고싶어용
50,새와나무,한옥마을안에있는줄알았는데 상세확인을못한불찰이죠 한옥마을에서 차로10분거리에 있어 인터넷검색하니 저녁먹을만한곳도없고 한옥마을에서 놀다가 저녁먹고 간단한안주거리 사서 숙소에서먹었네요 숙소는깻끗하고 이불도넉넉하고 입실하니까 보일러가켜저있네요 날씨는 안추워는데 좀더워네요 한옥마을안에없어서좀아쉬워네요
51,새와나무,한옥마을 초입에 있어서 이동이 편리하고 사장님이 완전 친절하세요 주차도 자리 잡아주시고 중간에 이동해도 자리 맡아주셔서 편하게 이용했어요 방도 조용했고 여자 3명이서 이용했는데 불편함 없었습니다
52,새와나무,"하루 저렴히 자기에 좋은 숙소였습니다. 예민하시지 않다면 적당히 깔끔하고, 화장실은 잘 되어 있습니다. 불편한 점이 있을 땐 계속 연락하시면 잘 대응해 주십니다."
53,새와나무,사장님도 너무 친절하시고 너무 잘쉬다왔어요
54,새와나무,"다른방은 한옥으로 된 본채에 있고, 이 방은 차로 10분쯤 떨어진 곳에 별채처럼 있는 ""빌라""입니다. ""빌라 쓰리룸형"" 타입을 선택하실때는 한옥스테이 생각하면 안되요~ 가기 전에는 정보랑 후기가 없어서 걱정했는데, 결과적으로 저는 대만족했습니다.일단 8인까지 추가금이 없어요. 그리고 도착하기 전 미리 연락드리니 한옥마을 내 본채 앞에 주차하고 구경다닐 수 있게 해 주셨고, 오후 느즈막히 숙소(빌라)로 가니 미리 보일러 틀어두셨더라고요. 한옥은 음식 반입금지인 곳이 꽤 많던데 여기는 취사도 가능하고요.(전자렌지,라면포트,전기포트,냉장고,웍,후라이팬 있어요. 전기밥솥 없는게 유일하게 아쉬웠어요.)밤에 내린 비로 다음날 돌아다니기 추워 오후일정까지 시간이 애매했는데 체크아웃도 미뤄주셔서 너무 감사했습니다."
55,새와나무,따뜻한 온돌에 편안하게 쉬다가요 사장님 친절하시고 좋아요!!
56,새와나무,"칫솔 챙겨야함. 취사 불가 (냉장고, 전기포트,전자레인지 없음)"
57,새와나무,두가족 잘 쉬었다가 갑니다 전주 갈시에 또 이용할께요~!!
58,새와나무,잠만 자고 나올생각으로 한옥마을에서 가까운 곳을 선택해서 갔어요가격대비 생각하시고 가시면 좋아요잘쉬었다갑니다.
59,새와나무,가성비 좋은 숙소입니다 방도 따뜻하고 관광지에는 택시타고 나가야되지만 만족합니다
60,금농헌,"한옥은 방음이 잘 안 돼서 일부러 독채로 찾아보고 갔는데 생각보다 더 좋았어요. 방도 넓고 화장실도 2개에 큼직해서 좋았고 부엌엔 정수기도 있고 냉장고도 있어 좋았어요. 좀 더 머물렀다면 유용하게 썼을 가스레인지, 싱크대도 있어 마음에 더욱 들었습니다. 다음 번 전주 여행 때도 머물고 싶어요!"
61,금농헌,"조용한 동네에 한옥 독채 숙소를 사용하여 함께 여행한 동료들의 만족도가 아주 높았습니다. 시설 관리도 잘되어 있어 좋았고, 다음에 또 방문하고 싶어요"
62,금농헌,대학생 아이 예약해줬는데 아주 좋았다고 하네요. 가족여행으로 다시 방문할 계획입니다.
63,금농헌,"추운 날씨였지만 난방도 잘 되어있고 침구, 화장실 등 모두 다 깨끗하게 잘 관리되어 있었어요~요즘 코로나로 여러 사람이서 숙박하기 어려운데 저희 가족끼리 오붓하게 잘 쉬다가 갔습니다~~"
64,금농헌,기대이상입니다 잘 쉬었습니다
65,금농헌,주인분이 친절하시고 독채라 가족끼리 지내기 좋았어요 작지만 마당도 있고 아이들도 뛰어다니며 즐거워했습니다 다음에 또 전주가면 머물고 싶은 숙소예요
66,금농헌,진짜 최고입니다일단 독채라 넘 좋고가격도 좋고 주차도 가능하고 따뜻한 한옥이라 전주여행에 딱이에요다음에 또 갈 생각입니다
67,금농헌,"겨울에는 우풍이 있어서 살짝 춥긴 하지만 숙소가 예쁘고, 편안하게 놀 수 있었습니다!"
68,금농헌,두가족이 놀러가기에 딱
69,금농헌,"한옥펜션이라 운치있고 좋았습니다.참고하실 점은 바닥은 굉장히 따뜻한데 우풍이 좀 있다는 점하고, 한옥마을, 시내와 약간 떨어진 외곽에 위치해 있다는점 알고가시면 도움될거 같네요~저희는 3가족이 갔는데 2,3번방 쓰는분들은 조금 좁았어요ㅎ"
